SP,lat,lon,seafloor_depth_m,max_amplitude,mean_envelope,mean_inst_freq_hz,mean_cosine_phase,fault_likelihood,horizon_1_depth_m,horizon_2_depth_m,horizon_3_depth_m
2120,39.89083632,-71.07416743,597.75,25.767485994772176,1.2434390154650574,91.13499076777121,0.009436934194059277,,,,
2120,39.89083632,-71.07416743,597.75,26.892849718783815,1.2978850923345575,88.75495433236694,0.009381985153349832,,,,
2121,39.89073557,-71.07416197,597.75,27.589759554230113,1.3392437940600295,89.13425463830637,0.003689800258460907,,,,
2121,39.89073557,-71.07416197,599.25,29.916670684577706,1.3820176390683652,90.79172195109882,4.768378715528637e-05,,,,
2121,39.89073557,-71.07416197,599.25,31.99060179052534,1.4225645806849618,88.95608179493387,-0.008390852142308476,,,,
2121,39.89073557,-71.07416197,599.25,33.21278128416237,1.4508023827154184,89.87790855740342,0.0007792637323118732,,,,
2122,39.89063845,-71.07415055,599.25,34.56178738545317,1.4795617936905054,89.32651903475218,0.003181417499776549,,,,
2122,39.89063845,-71.07415055,600.0,36.125792222008165,1.5260114123431843,88.59058927520812,-0.0072438433034364485,0.21951219512195122,660.0,690.75,723.0
2122,39.89063845,-71.07415055,600.0,37.71070245112191,1.5690645877759368,87.8535527775639,-0.009293064091728281,0.21341463414634146,660.0,691.5,723.0
2123,39.8905448,-71.07414232,600.0,39.408294824187045,1.5972812773307872,88.0357585833941,-0.01466379407324272,0.22560975609756098,660.0,691.5,723.0
2123,39.8905448,-71.07414232,600.0,41.48489948342289,1.6318248467594731,89.32321710583383,-0.013088547423784092,0.23170731707317074,660.0,691.5,723.0
2123,39.8905448,-71.07414232,600.0,42.93027389107289,1.6683410240713288,90.9813846412589,-0.014268758175581818,0.21951219512195122,660.0,691.5,723.0
2123,39.8905448,-71.07414232,600.0,44.180649749650776,1.6953666402305254,87.49422099553084,-0.013005102062834825,0.21951219512195122,660.0,691.5,723.0
2124,39.890447,-71.07412555,600.0,45.05743083083092,1.7146219442337465,87.31469695394425,0.0009837259987597754,0.21951219512195122,660.75,691.5,723.0
2124,39.890447,-71.07412555,600.0,45.65168833940025,1.7392448780062353,89.1558729007925,-0.007189798905211152,0.21951219512195122,660.75,691.5,723.0
2124,39.890447,-71.07412555,601.5,45.86674906713169,1.7494208044581216,87.87658711235461,-0.005566693846421702,0.21348314606741572,663.0,694.5,735.0
2125,39.89035227,-71.07411342,601.5,45.677167046270924,1.7379901515955982,86.0043431430758,-0.0013345797593863138,0.19662921348314608,663.0,694.5,735.0
2125,39.89035227,-71.07411342,601.5,44.581006876560615,1.7291384775042113,85.74379043274273,0.008967966127965478,0.1797752808988764,663.75,694.5,735.0
2125,39.89035227,-71.07411342,601.5,43.796259438208594,1.7263226126586706,86.47709935822246,7.173251960673284e-05,0.2191780821917808,691.5,723.0,765.7500000000001
2125,39.89035227,-71.07411342,603.0,44.03740255162158,1.7119235019104877,87.58304695278959,-0.0027013630074001786,0.20276497695852536,691.5,723.0,765.7500000000001
2126,39.89025382,-71.07410235,603.0,44.25590212903663,1.6777490185878627,87.41661331607753,0.0051787266322439575,0.1935483870967742,691.5,723.0,765.7500000000001
2126,39.89025382,-71.07410235,603.0,43.1611688014339,1.6405906340621301,86.88755830172093,0.006785066172786748,0.20276497695852536,691.5,723.0,765.7500000000001
2126,39.89025382,-71.07410235,603.0,41.48519156403899,1.6101920282791955,87.80478463653778,0.003137901584918583,0.16589861751152074,691.5,723.0,765.7500000000001
2127,39.89014822,-71.0741032,603.75,40.85375682835226,1.5863933919498663,87.40555938518969,-0.001882011422818903,0.1598173515981735,691.5,723.0,768.0
2127,39.89014822,-71.0741032,603.75,40.385632343436164,1.5718015770683316,89.73077792739744,0.0007928353699821725,0.1643835616438356,692.25,723.75,768.0
2127,39.89014822,-71.0741032,604.5,40.74733121054162,1.5472994329128988,90.28875493664178,0.013829640210104391,0.1651376146788991,692.25,723.75,768.0
2127,39.89014822,-71.0741032,604.5,40.00618236720344,1.5186717169317996,88.00080974728073,0.0023917637502868976,0.19724770642201836,692.25,723.75,768.0
2128,39.89004677,-71.07410017,604.5,39.281163491516466,1.5039940711053152,89.12445177773104,0.008611382303936089,0.2018348623853211,692.25,723.75,768.0
2128,39.89004677,-71.07410017,605.25,37.834360152118,1.496633838623454,87.83623959221114,0.007227652430626716,0.23853211009174313,692.25,724.5,768.7499999999999
2128,39.89004677,-71.07410017,605.25,37.47110622404822,1.4985707155269166,86.90655301404676,-0.007552929822661205,0.2237442922374429,692.25,724.5,769.5
2128,39.89004677,-71.07410017,606.0,37.109729524168756,1.5108518899157921,87.4494174524943,0.0005092345975955064,0.20642201834862386,692.25,724.5,769.5
2129,39.88994127,-71.0741078,606.0,36.89912789219963,1.5030064223379025,87.64182115174997,0.015875160192549552,0.1926605504587156,692.25,724.5,769.5
2129,39.88994127,-71.0741078,606.75,37.882653623010455,1.4974202943131902,88.20421452276466,0.016069468056557873,0.17511520737327188,692.25,724.5,769.5
2129,39.88994127,-71.0741078,607.5,38.58160365890322,1.5181164237322933,87.10411514115386,0.005800832750026127,0.1574074074074074,692.25,724.5,769.5
2130,39.889837,-71.07411453,607.5,39.63723571253172,1.5631895171054915,87.4713232032884,-0.0005406445274028302,0.1388888888888889,693.0,724.5,769.5
2130,39.889837,-71.07411453,607.5,40.14722901510758,1.5960683207263842,87.10332761768888,0.013988079511642687,0.16203703703703703,693.0,724.5,769.5
2130,39.889837,-71.07411453,607.5,39.44155873808473,1.6225165003904345,85.63285222495267,0.006905162658350289,0.1527777777777778,693.0,724.5,769.5
2130,39.889837,-71.07411453,607.5,39.051185172499984,1.64061879962912,85.44974147355693,0.004595435969663099,0.18518518518518517,693.0,724.5,769.5
2131,39.88973048,-71.07412932,607.5,39.27247267710556,1.6482230293934181,85.26771627127602,0.0020670768155822724,0.2037037037037037,693.0,725.25,769.5
