fault_id,confidence,avg_probability,trace_idx,sample_idx,depth_m
1,high,0.6700717931152136,3789,1848,1386.0
1,high,0.6700717931152136,3789,1853,1389.75
1,high,0.6700717931152136,3790,1858,1393.5
1,high,0.6700717931152136,3792,1863,1397.25
1,high,0.6700717931152136,3801,1868,1401.0
1,high,0.6700717931152136,3811,1873,1404.75
1,high,0.6700717931152136,3810,1878,1408.5
1,high,0.6700717931152136,3810,1883,1412.25
1,high,0.6700717931152136,3809,1888,1416.0
1,high,0.6700717931152136,3808,1893,1419.75
1,high,0.6700717931152136,3809,1898,1423.5
1,high,0.6700717931152136,3808,1903,1427.25
1,high,0.6700717931152136,3804,1908,1431.0
1,high,0.6700717931152136,3807,1913,1434.75
1,high,0.6700717931152136,3808,1918,1438.5
1,high,0.6700717931152136,3809,1923,1442.25
1,high,0.6700717931152136,3805,1928,1446.0
1,high,0.6700717931152136,3811,1933,1449.75
1,high,0.6700717931152136,3813,1938,1453.5
1,high,0.6700717931152136,3814,1943,1457.25
1,high,0.6700717931152136,3812,1948,1461.0
1,high,0.6700717931152136,3812,1953,1464.75
1,high,0.6700717931152136,3802,1958,1468.5
1,high,0.6700717931152136,3802,1963,1472.25
1,high,0.6700717931152136,3823,1968,1476.0
1,high,0.6700717931152136,3829,1973,1479.75
1,high,0.6700717931152136,3831,1978,1483.5
1,high,0.6700717931152136,3833,1983,1487.25
1,high,0.6700717931152136,3828,1988,1491.0
1,high,0.6700717931152136,3827,1993,1494.75
1,high,0.6700717931152136,3819,1998,1498.5
1,high,0.6700717931152136,3819,2003,1502.25
1,high,0.6700717931152136,3818,2008,1506.0
1,high,0.6700717931152136,3810,2013,1509.75
1,high,0.6700717931152136,3798,2018,1513.5000000000002
1,high,0.6700717931152136,3792,2023,1517.25
1,high,0.6700717931152136,3786,2028,1521.0
1,high,0.6700717931152136,3789,2033,1524.75
1,high,0.6700717931152136,3789,2038,1528.5000000000002
1,high,0.6700717931152136,3788,2043,1532.25
