SP,lat,lon,seafloor_depth_m,max_amplitude,mean_envelope,mean_inst_freq_hz,mean_cosine_phase,fault_likelihood,horizon_1_depth_m,horizon_2_depth_m,horizon_3_depth_m
122,39.77667713,-71.5856809,702.75,5.872147764413723,0.19593215151417814,83.74062172790074,-0.0055307286137953665,0.4801980198019802,783.75,821.25,854.25
122,39.77667713,-71.5856809,703.5,6.2670479907469785,0.20259741262456513,84.64338458222194,-0.008659088935816999,0.42786069651741293,784.5,821.25,854.25
122,39.77667713,-71.5856809,704.25,7.053224734517524,0.2086235944996558,87.7972642444225,-0.004826257399494252,0.35323383084577115,784.5,821.25,855.0000000000001
123,39.77657867,-71.58579277,705.0,8.12147951231045,0.2152130008943016,86.22190679744737,0.0009604473630619257,0.325,786.0,822.0000000000001,855.0000000000001
123,39.77657867,-71.58579277,705.0,8.993448660768346,0.22398519094158872,87.57206925373802,-0.010053346120041037,0.3,786.0,822.0000000000001,855.0000000000001
123,39.77657867,-71.58579277,707.25,9.766220877423326,0.23203527260366266,86.4437353782969,-0.010962432489925492,0.233502538071066,786.75,822.0000000000001,855.0000000000001
123,39.77657867,-71.58579277,708.0,10.471185331890723,0.2399667817639937,85.9913728049045,-0.010209186613413999,0.23469387755102042,786.75,822.0000000000001,855.0000000000001
124,39.77648315,-71.585903,708.0,10.19542234709489,0.24594965827592455,85.98782189435678,-0.005659734169065718,0.1989795918367347,786.75,822.0000000000001,855.0000000000001
124,39.77648315,-71.585903,708.0,9.96944200166164,0.25221093940808714,83.95871552575788,-0.011910725519567166,0.1989795918367347,786.75,822.0000000000001,855.0000000000001
124,39.77648315,-71.585903,708.75,10.443549747438874,0.25689697383273247,85.76360900982291,-0.009202839819190423,0.19487179487179487,786.75,822.0000000000001,855.0000000000001
124,39.77648315,-71.585903,708.75,10.696801693932953,0.26259238015049136,85.99392470033581,-0.006148221704276874,0.18974358974358974,786.75,822.0000000000001,855.0000000000001
124,39.77648315,-71.585903,708.75,10.655929844724252,0.2667880231512185,85.99869542963677,-0.009154791624874318,0.22564102564102564,786.75,822.0000000000001,855.0000000000001
125,39.77639148,-71.58601707,708.75,10.623034632782959,0.2700316699959679,86.67774322176923,-0.010429298083184073,0.21025641025641026,786.75,822.0000000000001,855.0000000000001
125,39.77639148,-71.58601707,708.75,10.76090070304326,0.2735447701963879,87.1284004364599,-0.008651736898897427,0.2205128205128205,786.75,822.0000000000001,855.0000000000001
125,39.77639148,-71.58601707,709.5,9.768161188547085,0.2777896820114631,87.12615313951434,-0.007265461145334402,0.18556701030927836,786.75,822.0000000000001,855.0000000000001
