feature_id,feature_class,confidence,avg_probability,trace_idx,sample_idx,depth_m
1,vertical_fault,high,0.6818003187702933,69,2433,1824.7499999999998
1,vertical_fault,high,0.6818003187702933,56,2438,1828.5000000000002
1,vertical_fault,high,0.6818003187702933,81,2443,1832.25
1,vertical_fault,high,0.6818003187702933,69,2448,1836.0
1,vertical_fault,high,0.6818003187702933,78,2453,1839.7499999999998
1,vertical_fault,high,0.6818003187702933,77,2458,1843.5000000000002
1,vertical_fault,high,0.6818003187702933,69,2463,1847.25
1,vertical_fault,high,0.6818003187702933,73,2468,1851.0
1,vertical_fault,high,0.6818003187702933,64,2473,1854.75
1,vertical_fault,high,0.6818003187702933,71,2478,1858.5000000000002
1,vertical_fault,high,0.6818003187702933,76,2483,1862.25
1,vertical_fault,high,0.6818003187702933,80,2488,1866.0
1,vertical_fault,high,0.6818003187702933,65,2493,1869.75
1,vertical_fault,high,0.6818003187702933,73,2498,1873.5000000000002
1,vertical_fault,high,0.6818003187702933,63,2503,1877.25
1,vertical_fault,high,0.6818003187702933,83,2508,1881.0
1,vertical_fault,high,0.6818003187702933,68,2513,1884.75
1,vertical_fault,high,0.6818003187702933,55,2518,1888.5000000000002
1,vertical_fault,high,0.6818003187702933,66,2523,1892.25
1,vertical_fault,high,0.6818003187702933,35,2528,1896.0
1,vertical_fault,high,0.6818003187702933,81,2533,1899.75
1,vertical_fault,high,0.6818003187702933,65,2538,1903.5000000000002
1,vertical_fault,high,0.6818003187702933,73,2543,1907.25
1,vertical_fault,high,0.6818003187702933,58,2548,1911.0
1,vertical_fault,high,0.6818003187702933,68,2553,1914.75
1,vertical_fault,high,0.6818003187702933,75,2558,1918.5000000000002
1,vertical_fault,high,0.6818003187702933,58,2563,1922.2500000000002
1,vertical_fault,high,0.6818003187702933,74,2568,1926.0
1,vertical_fault,high,0.6818003187702933,63,2573,1929.75
1,vertical_fault,high,0.6818003187702933,68,2578,1933.4999999999998
1,vertical_fault,high,0.6818003187702933,85,2583,1937.2500000000002
1,vertical_fault,high,0.6818003187702933,82,2588,1941.0
1,vertical_fault,high,0.6818003187702933,71,2593,1944.75
1,vertical_fault,high,0.6818003187702933,60,2598,1948.5
1,vertical_fault,high,0.6818003187702933,55,2603,1952.2500000000002
1,vertical_fault,high,0.6818003187702933,75,2608,1956.0
1,vertical_fault,high,0.6818003187702933,66,2613,1959.75
1,vertical_fault,high,0.6818003187702933,64,2618,1963.5
1,vertical_fault,high,0.6818003187702933,84,2623,1967.2500000000002
1,vertical_fault,high,0.6818003187702933,71,2628,1971.0
1,vertical_fault,high,0.6818003187702933,78,2633,1974.75
1,vertical_fault,high,0.6818003187702933,57,2638,1978.5
